x-axis,1,REF2
second,Volt,Volt
+1.27115000E-03,-4.01125846E-03,-4.04009329E-03
+1.27117500E-03,-3.97088324E-03,-4.02627016E-03
+1.27120000E-03,-3.77636706E-03,-4.02952257E-03
+1.27122500E-03,-3.74811686E-03,-3.92091631E-03
+1.27125000E-03,-3.69068841E-03,-3.72777865E-03
+1.27127500E-03,-3.51586853E-03,-3.61930566E-03
+1.27130000E-03,-3.34003406E-03,-3.51579677E-03
+1.27132500E-03,-3.25715434E-03,-3.38636927E-03
+1.27135000E-03,-3.10059857E-03,-3.28335034E-03
+1.27137500E-03,-2.99500864E-03,-3.13851375E-03
+1.27140000E-03,-2.85857339E-03,-2.99383395E-03
+1.27142500E-03,-2.75422389E-03,-2.88820513E-03
+1.27145000E-03,-2.61193538E-03,-2.71697716E-03
+1.27147500E-03,-2.49496336E-03,-2.58076021E-03
+1.27150000E-03,-2.40964230E-03,-2.53739067E-03
+1.27152500E-03,-2.36025246E-03,-2.40335365E-03
+1.27155000E-03,-2.25478193E-03,-2.39075677E-03
+1.27157500E-03,-2.08951366E-03,-2.27701003E-03
+1.27160000E-03,-1.96926902E-03,-2.11912187E-03
+1.27162500E-03,-1.99206276E-03,-2.04557336E-03
+1.27165000E-03,-1.90566921E-03,-2.06669340E-03
+1.27167500E-03,-2.01135322E-03,-2.10868231E-03
+1.27170000E-03,-1.98095082E-03,-2.12889298E-03
+1.27172500E-03,-2.01930078E-03,-2.04748977E-03
+1.27175000E-03,-2.05911277E-03,-2.08228641E-03
+1.27177500E-03,-2.16944278E-03,-2.14197651E-03
+1.27180000E-03,-2.31752575E-03,-2.33356802E-03
+1.27182500E-03,-2.34610550E-03,-2.55766617E-03
+1.27185000E-03,-2.36084162E-03,-2.55565689E-03
+1.27187500E-03,-2.59083434E-03,-2.66260483E-03
+1.27190000E-03,-2.77363284E-03,-2.86570868E-03
+1.27192500E-03,-2.93320283E-03,-3.06658587E-03
+1.27195000E-03,-3.09191381E-03,-3.27133989E-03
+1.27197500E-03,-3.29660150E-03,-3.52040056E-03
+1.27200000E-03,-3.56369683E-03,-3.74963136E-03
+1.27202500E-03,-3.69569593E-03,-3.89115282E-03
+1.27205000E-03,-3.90883773E-03,-4.08553030E-03
+1.27207500E-03,-4.22089880E-03,-4.37036390E-03
+1.27210000E-03,-4.42091516E-03,-4.53305153E-03
+1.27212500E-03,-4.57946212E-03,-4.70360862E-03
+1.27215000E-03,-4.80832326E-03,-4.90238396E-03
+1.27217500E-03,-4.92089320E-03,-5.09870017E-03
+1.27220000E-03,-5.01944282E-03,-5.22483816E-03
+1.27222500E-03,-5.18672158E-03,-5.29581236E-03
+1.27225000E-03,-5.15389442E-03,-5.46606675E-03
+1.27227500E-03,-5.30291600E-03,-5.52835015E-03
+1.27230000E-03,-5.38667703E-03,-5.56347725E-03
+1.27232500E-03,-5.44866014E-03,-5.52722461E-03
+1.27235000E-03,-5.36377144E-03,-5.49995221E-03
+1.27237500E-03,-5.38029432E-03,-5.46976329E-03
+1.27240000E-03,-5.37009777E-03,-5.43249636E-03
+1.27242500E-03,-5.17923080E-03,-5.41777773E-03
+1.27245000E-03,-5.06799144E-03,-5.27872807E-03
+1.27247500E-03,-4.83484610E-03,-5.00656583E-03
+1.27250000E-03,-4.73313181E-03,-4.85183692E-03
+1.27252500E-03,-4.61551938E-03,-4.63968620E-03
+1.27255000E-03,-4.36957906E-03,-4.43219866E-03
+1.27257500E-03,-4.15121869E-03,-4.16689009E-03
+1.27260000E-03,-3.78927300E-03,-3.83924114E-03
+1.27262500E-03,-3.56734423E-03,-3.69102369E-03
+1.27265000E-03,-3.34036120E-03,-3.42377007E-03
+1.27267500E-03,-3.11011219E-03,-3.23377025E-03
+1.27270000E-03,-2.75938910E-03,-2.85157650E-03
+1.27272500E-03,-2.49025102E-03,-2.56132774E-03
+1.27275000E-03,-2.21026514E-03,-2.30788338E-03
+1.27277500E-03,-1.98940402E-03,-2.15741847E-03
+1.27280000E-03,-1.70750383E-03,-1.89673751E-03
+1.27282500E-03,-1.63792986E-03,-1.66451089E-03
+1.27285000E-03,-1.56566910E-03,-1.53415835E-03
+1.27287500E-03,-1.33527567E-03,-1.38433384E-03
+1.27290000E-03,-1.25656044E-03,-1.33666474E-03
+1.27292500E-03,-1.14291682E-03,-1.24534509E-03
+1.27295000E-03,-1.02530529E-03,-1.10238692E-03
+1.27297500E-03,-1.05750349E-03,-1.12165688E-03
